Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Index,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Combined MPG,City MPG,Highway MPG,Annual Fuel Cost
2001,GMC,Yukon 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,12,16,1600
2001,GMC,Yukon XL 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,12,16,2500
2001,Ford,Explorer 4WD FFV,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,19,2500
2001,Mercury,Mountaineer 4WD FFV,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,15,13,18,2500
2001,Mercury,Sable,Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,21,18,25,2500
2001,Ford,Taurus,Large Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,21,18,25,1850
2001,Ford,Taurus Wagon,Midsize Station Wagons,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,19,17,24,1600
2001,Mercury,Sable Wagon,Midsize Station Wagons,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,19,17,24,2050
2001,Ford,Explorer 2WD FFV,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,16,14,19,2200
2001,Ford,Ranger 2WD FFV,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,2350
2001,Mazda,B3000 FFV 2WD,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,1650
